18:6,7,9,1,7,2,9,6,9,8,1,9,5,6,6,1,7,8,2,9,8,7,3,2,3,7,8,7,9,9
19:2,2,2,5,7,8,4,1,5,3,3,9,1,3,7,8,8,7,7,7,7,3,5,8,9,4,5,6,6,8
20:1,1,2,5,3,9,8,6,7,7,5,5,4,6,4,7,3,1,6,9,8,6,7,5,7,6,1,1,5,8
21:4,6,1,7,1,5,1,6,3,1,3,4,4,5,2,2,9,2,5,3,1,9,5,1,6,7,7,8,6,9
22:8,3,1,6,9,6,1,8,5,8,4,4,7,2,8,4,3,3,5,8,2,1,4,9,4,1,1,4,1,5
23:3,1,3,5,6,9,1,3,7,4,7,7,9,3,4,7,5,4,8,1,5,3,4,9,1,8,5,8,6,6
24:9,3,7,5,9,4,1,7,7,3,8,8,2,5,5,9,1,9,5,2,2,7,1,2,1,6,6,7,5,2
25:1,4,9,8,3,7,8,8,6,7,4,6,9,1,4,7,8,2,3,3,9,5,6,1,3,4,6,1,7,9
26:5,5,5,3,1,4,8,9,7,8,2,5,1,3,4,3,5,4,6,3,6,1,1,8,1,5,8,3,7,9
27:5,7,5,3,8,9,1,1,6,6,3,9,4,4,5,4,9,9,5,8,8,3,6,2,4,9,5,9,3,2
28:3,5,2,9,1,1,2,6,8,8,9,4,5,4,3,6,3,3,8,3,1,9,6,1,4,1,1,7,4,3
29:7,4,5,1,4,5,8,3,3,6,2,9,5,9,1,9,7,1,4,3,5,5,5,6,4,8,3,3,1,2
30:8,3,3,5,5,1,7,3,9,1,4,3,2,3,5,2,7,2,6,8,2,5,3,5,8,9,2,4,5,6
31:8,5,2,5,2,9,8,2,4,4,4,3,5,3,4,5,8,6,3,7,5,1,2,1,4,1,4,1,4,8
32:4,1,5,1,2,6,9,1,7,7,6,8,8,9,3,4,7,6,8,3,4,6,6,7,4,3,1,3,9,3
33:1,5,9,7,3,6,2,4,5,8,8,8,5,9,6,5,2,8,5,6,7,9,2,3,9,2,4,6,2,5
34:2,9,2,9,3,4,3,9,5,2,7,2,6,1,1,4,5,8,9,8,7,7,7,5,2,8,1,4,3,8
35:5,6,2,3,5,6,3,6,5,6,6,3,7,5,3,1,7,2,7,4,4,9,8,8,6,8,5,3,9,8
36:2,2,6,8,9,2,1,2,3,1,5,6,2,1,4,9,5,6,9,2,5,2,2,1,1,8,5,5,8,4
37:8,4,5,7,7,1,4,3,1,8,6,9,9,3,1,8,5,5,2,5,8,6,3,4,9,4,7,6,9,6
38:3,8,9,8,3,8,4,5,8,9,2,8,4,2,8,9,2,2,8,4,8,7,7,3,2,9,7,7,4,2
39:6,8,9,3,6,9,8,8,5,4,3,8,6,5,6,9,7,3,2,6,8,5,6,1,8,9,4,7,4,6
40:9,1,5,2,2,3,7,5,1,4,2,8,8,2,9,2,1,3,9,5,2,4,2,6,9,1,1,5,1,2
41:9,3,2,7,3,9,1,9,8,7,5,7,4,8,5,7,7,8,7,3,3,2,2,1,4,5,9,7,6,9
42:6,2,9,8,3,4,7,5,9,3,1,1,5,2,2,1,8,1,2,6,6,1,1,5,2,8,4,3,1,7
43:7,7,4,6,9,9,6,2,9,1,9,6,1,1,9,5,9,3,2,1,2,6,3,9,4,3,4,1,2,9
44:3,7,1,2,5,9,1,5,8,9,3,6,6,8,8,3,3,8,1,3,2,4,4,5,9,8,6,8,8,6
45:5,8,2,1,4,1,1,8,2,5,9,1,5,6,2,4,6,8,2,4,7,5,6,8,6,9,1,5,9,1
46:9,4,7,3,6,7,6,5,8,1,2,5,7,4,9,3,9,7,5,6,5,1,8,8,6,6,2,6,4,9
47:8,9,6,1,1,1,2,9,3,3,5,4,1,7,9,6,8,8,8,9,1,4,5,8,5,6,4,1,8,4
48:3,5,7,1,5,6,8,7,6,6,6,8,6,4,4,3,5,2,8,1,6,9,8,3,1,7,6,8,3,2
49:6,1,3,8,8,5,9,1,9,5,3,9,6,9,9,3,9,7,6,9,1,1,5,2,3,9,2,3,2,6
50:9,5,8,5,5,6,8,2,6,8,5,6,4,3,6,6,6,7,7,1,2,2,5,1,4,5,9,5,3,2
51:2,7,2,2,3,8,9,5,1,8,3,7,5,3,6,9,8,8,8,8,8,4,4,6,6,6,8,4,1,3
52:6,2,1,8,4,6,8,3,4,3,2,6,3,7,9,3,1,6,9,5,4,4,4,1,3,9,7,6,6,8
53:7,2,3,1,7,6,1,1,6,1,5,2,9,1,1,7,9,6,4,6,5,2,4,2,4,9,6,9,9,6
54:3,8,1,3,6,2,7,8,8,9,6,6,2,4,5,3,7,6,9,3,2,3,6,6,4,6,6,9,4,5
55:2,7,5,4,9,2,9,2,2,2,6,7,6,8,5,8,1,1,2,5,1,5,6,5,8,1,1,6,7,9
56:6,6,7,3,2,9,4,9,1,6,4,2,9,6,2,4,2,7,1,3,1,3,1,5,7,2,6,2,2,7
57:3,4,2,8,3,9,5,1,6,6,9,3,4,2,9,4,9,8,7,6,4,1,8,1,4,1,4,8,3,3
58:1,2,6,2,6,5,5,8,5,3,8,6,9,3,7,8,2,8,2,2,8,3,7,1,3,5,5,5,1,9
59:9,9,1,3,8,7,3,2,3,7,2,1,5,4,2,4,1,7,2,3,2,1,7,6,4,2,8,7,3,2
60:4,4,5,2,4,8,9,9,4,1,9,9,6,6,5,1,7,9,4,3,8,2,6,1,7,3,9,7,7,4
61:4,8,1,5,7,1,9,6,8,2,2,3,7,7,4,6,3,1,1,9,3,8,4,6,3,8,9,1,2,1
62:1,6,7,6,8,9,4,8,6,4,2,9,5,3,3,4,1,6,1,3,4,1,2,9,8,7,3,2,3,6
63:2,7,8,4,5,1,5,4,7,5,6,1,2,8,8,8,1,4,2,2,2,3,6,4,3,4,8,8,4,1
64:5,1,1,9,1,1,6,6,1,9,5,3,6,4,5,2,4,5,4,4,5,7,2,9,5,5,4,5,1,8
65:4,1,3,4,8,5,6,3,2,4,4,7,3,8,4,9,9,7,5,4,2,4,7,9,1,2,2,6,8,6
66:6,4,2,1,8,1,3,4,5,9,7,4,1,1,6,5,3,1,8,8,7,8,2,1,6,2,1,4,1,8
67:1,5,4,6,4,1,3,5,7,6,6,2,4,7,9,8,2,1,8,4,3,7,4,2,5,5,1,5,7,4
68:8,6,3,6,5,4,4,6,5,6,6,8,4,2,1,2,9,9,1,6,4,2,1,2,1,8,1,1,2,5
69:5,7,2,2,3,4,8,5,9,8,2,4,1,8,3,7,6,5,7,1,6,3,3,5,5,7,5,3,4,8
70:1,8,6,3,5,8,8,3,9,4,7,1,3,9,8,7,6,7,7,5,4,4,9,6,1,9,8,5,1,7
71:9,1,8,3,6,1,8,5,7,8,3,3,8,4,9,3,9,8,7,4,1,6,3,9,6,7,1,7,1,2
72:2,5,3,3,8,9,2,9,3,8,1,8,4,2,8,5,8,5,8,3,8,7,9,4,4,4,1,7,2,7
73:4,8,9,6,5,9,6,7,3,8,5,3,3,1,8,2,6,9,9,3,1,6,3,7,5,9,7,3,9,9
74:2,9,2,2,8,9,8,3,2,2,4,6,7,7,7,6,1,1,4,8,5,9,2,3,8,1,2,3,6,1
75:8,2,6,5,2,6,3,9,3,4,8,8,6,7,8,3,5,6,2,4,5,1,6,5,1,9,3,4,4,3
76:2,2,8,1,3,6,1,3,6,6,9,8,7,7,8,5,7,8,5,3,6,3,5,9,3,7,6,5,9,3
77:3,2,2,9,3,9,1,2,1,7,7,7,9,9,5,8,8,6,6,7,9,6,4,4,7,1,7,5,5,2
78:1,2,7,1,7,9,3,8,3,3,8,6,7,4,4,1,6,5,1,7,4,2,5,1,8,4,4,6,6,7
79:1,5,2,1,8,9,3,1,5,5,8,5,8,3,5,5,2,6,5,8,9,3,3,6,7,1,1,4,9,5
80:1,5,6,9,3,7,8,4,2,5,8,9,6,7,2,9,8,5,5,3,4,8,3,3,3,1,4,4,8,7
81:4,6,5,7,4,3,3,5,8,9,8,2,1,4,7,6,8,2,6,3,1,2,8,9,9,3,5,9,7,2
82:7,4,3,9,1,3,3,3,6,9,9,9,5,9,7,8,6,4,9,1,4,9,3,5,4,9,2,5,2,3
83:6,8,7,5,5,3,4,7,8,9,6,8,4,2,6,9,9,7,7,5,3,8,7,8,4,4,2,4,2,2
84:2,7,1,9,2,2,5,8,8,4,8,4,9,3,1,1,4,5,8,8,5,7,6,6,1,3,3,1,5,6
85:4,7,2,3,4,5,1,1,2,5,6,1,3,2,9,2,4,7,6,5,8,6,1,7,1,2,5,3,9,9
86:6,3,4,9,5,7,3,3,7,8,1,6,6,2,1,6,6,7,5,2,9,6,7,7,1,2,7,6,2,5
87:5,2,4,6,7,9,3,2,2,2,9,9,5,4,3,4,6,3,4,9,9,6,3,5,4,7,9,4,9,4
88:3,1,2,5,1,7,2,1,6,7,6,1,8,8,3,5,5,1,1,3,9,3,3,4,3,2,8,6,4,8
89:6,7,1,5,2,7,8,1,9,7,2,2,4,2,1,3,8,6,2,7,1,3,9,2,2,2,4,4,5,4
90:7,4,7,9,5,4,2,9,5,9,2,1,7,3,9,1,6,7,9,2,2,2,2,9,7,6,7,5,8,3
91:4,8,5,4,8,5,3,5,4,5,4,4,4,1,2,7,6,9,5,7,6,9,9,1,6,4,5,7,2,3
92:8,5,5,6,7,5,2,6,7,3,4,5,7,9,2,7,4,5,8,7,9,4,5,6,9,4,9,3,3,8
93:3,1,6,9,8,8,8,1,8,5,5,2,4,3,5,7,7,1,6,5,9,7,5,3,5,1,2,9,2,5
94:3,8,5,1,6,3,5,3,2,9,6,4,6,9,7,1,7,8,1,2,6,6,9,6,9,4,2,1,5,5
95:7,3,7,3,4,7,2,1,4,4,7,7,3,1,2,1,8,6,2,2,1,2,8,7,7,3,5,4,6,2
96:3,9,6,8,9,5,8,9,9,2,4,2,6,7,7,4,3,5,9,9,8,2,1,3,7,5,7,8,2,3
97:6,1,1,1,6,1,1,8,4,7,4,2,6,8,4,8,3,1,3,1,8,7,6,4,2,4,2,8,4,8
98:1,7,9,5,5,7,9,5,2,6,7,8,5,6,3,6,4,7,5,7,2,3,1,6,3,9,2,4,9,5
99:4,5,9,1,1,7,1,7,1,3,4,3,8,1,7,9,9,7,7,5,8,5,1,9,1,4,7,8,5,2
100:1,2,4,4,5,9,1,3,6,8,4,1,2,7,7,4,1,8,6,8,1,4,7,1,2,5,3,9,1,1
